[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************

=====================
DDP

=====================
DDP


====================================
DDP


====================================
DDP
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False

Gradient accumulation steps needed with B: 16 and T: 1024 for total batch size: 524288 = 16
total params: 124475904
loaded len : 338025
loaded len : 338025
step : 43 | loss: 5.63541316986084 | lr: 0.0005999 | dt: 2591.28 ms | tokens/sec: 202_327.491926 | norm: 0.62
step : 44 | loss: 5.613576412200928 | lr: 0.0005999 | dt: 2589.49 ms | tokens/sec: 202_467.579110 | norm: 0.63
step : 45 | loss: 5.606022834777832 | lr: 0.0005999 | dt: 2592.60 ms | tokens/sec: 202_224.562121 | norm: 0.70
step : 46 | loss: 5.586983680725098 | lr: 0.0005999 | dt: 2588.17 ms | tokens/sec: 202_571.073742 | norm: 1.04
step : 47 | loss: 5.552325248718262 | lr: 0.0005999 | dt: 2592.80 ms | tokens/sec: 202_209.109369 | norm: 0.49
step : 48 | loss: 5.541226863861084 | lr: 0.0005999 | dt: 2588.01 ms | tokens/sec: 202_583.782391 | norm: 0.65
step : 49 | loss: 5.523007392883301 | lr: 0.0005999 | dt: 2592.17 ms | tokens/sec: 202_258.525562 | norm: 0.85
step : 50 | loss: 5.502579212188721 | lr: 0.0005999 | dt: 2588.19 ms | tokens/sec: 202_569.282342 | norm: 0.72
step : 51 | loss: 5.469318389892578 | lr: 0.0005999 | dt: 2593.63 ms | tokens/sec: 202_144.831936 | norm: 0.55
step : 52 | loss: 5.453517913818359 | lr: 0.0005999 | dt: 2589.87 ms | tokens/sec: 202_437.589359 | norm: 0.74
step : 53 | loss: 5.427847862243652 | lr: 0.0005999 | dt: 2593.41 ms | tokens/sec: 202_161.352798 | norm: 0.60
step : 54 | loss: 5.411740303039551 | lr: 0.0005999 | dt: 2585.33 ms | tokens/sec: 202_793.135165 | norm: 0.59
step : 55 | loss: 5.380110263824463 | lr: 0.0005999 | dt: 2594.48 ms | tokens/sec: 202_078.515500 | norm: 0.42
step : 56 | loss: 5.360589027404785 | lr: 0.0005999 | dt: 2587.69 ms | tokens/sec: 202_608.140426 | norm: 0.82
step : 57 | loss: 5.365988254547119 | lr: 0.0005999 | dt: 2590.94 ms | tokens/sec: 202_354.283502 | norm: 0.90
step : 58 | loss: 5.340298652648926 | lr: 0.0005999 | dt: 2590.51 ms | tokens/sec: 202_388.216027 | norm: 1.04
step : 59 | loss: 5.338377952575684 | lr: 0.0005999 | dt: 2594.47 ms | tokens/sec: 202_078.998319 | norm: 0.92
step : 60 | loss: 5.2820000648498535 | lr: 0.0005999 | dt: 2589.36 ms | tokens/sec: 202_477.646028 | norm: 0.72
step : 61 | loss: 5.289456367492676 | lr: 0.0005999 | dt: 2590.33 ms | tokens/sec: 202_401.926356 | norm: 0.85
step : 62 | loss: 5.253976821899414 | lr: 0.0005999 | dt: 2593.22 ms | tokens/sec: 202_176.370728 | norm: 0.94
step : 63 | loss: 5.238509178161621 | lr: 0.0005999 | dt: 2592.37 ms | tokens/sec: 202_242.584016 | norm: 0.95
step : 64 | loss: 5.201255798339844 | lr: 0.0005998 | dt: 2591.35 ms | tokens/sec: 202_322.242427 | norm: 1.19
step : 65 | loss: 5.171767234802246 | lr: 0.0005998 | dt: 2592.14 ms | tokens/sec: 202_260.292866 | norm: 0.66
step : 66 | loss: 5.154880523681641 | lr: 0.0005998 | dt: 2595.06 ms | tokens/sec: 202_033.289254 | norm: 0.92
step : 67 | loss: 5.1305317878723145 | lr: 0.0005998 | dt: 2591.43 ms | tokens/sec: 202_316.043902 | norm: 1.05
step : 68 | loss: 5.111607551574707 | lr: 0.0005998 | dt: 2589.90 ms | tokens/sec: 202_435.502149 | norm: 1.00
step : 69 | loss: 5.080226421356201 | lr: 0.0005998 | dt: 2595.58 ms | tokens/sec: 201_992.981443 | norm: 1.00
step : 70 | loss: 5.0575666427612305 | lr: 0.0005998 | dt: 2594.37 ms | tokens/sec: 202_086.983746 | norm: 1.12
step : 71 | loss: 5.026509761810303 | lr: 0.0005998 | dt: 2590.25 ms | tokens/sec: 202_407.999730 | norm: 0.68
step : 72 | loss: 5.020694732666016 | lr: 0.0005998 | dt: 2593.00 ms | tokens/sec: 202_193.975028 | norm: 0.81
step : 73 | loss: 4.99310302734375 | lr: 0.0005998 | dt: 2595.64 ms | tokens/sec: 201_988.083247 | norm: 0.70
step : 74 | loss: 4.983156204223633 | lr: 0.0005998 | dt: 2588.92 ms | tokens/sec: 202_512.104833 | norm: 1.18
step : 75 | loss: 4.960909843444824 | lr: 0.0005998 | dt: 2598.44 ms | tokens/sec: 201_770.261209 | norm: 1.78
step : 76 | loss: 4.933356285095215 | lr: 0.0005998 | dt: 2592.88 ms | tokens/sec: 202_202.713253 | norm: 0.98
step : 77 | loss: 4.946307182312012 | lr: 0.0005998 | dt: 2594.70 ms | tokens/sec: 202_060.819898 | norm: 1.87
step : 78 | loss: 4.885838508605957 | lr: 0.0005998 | dt: 2591.51 ms | tokens/sec: 202_309.827144 | norm: 0.97
step : 79 | loss: 4.878668308258057 | lr: 0.0005998 | dt: 2591.50 ms | tokens/sec: 202_310.999737 | norm: 1.72
step : 80 | loss: 4.866021156311035 | lr: 0.0005997 | dt: 2595.69 ms | tokens/sec: 201_983.908836 | norm: 1.26
step : 81 | loss: 4.844635963439941 | lr: 0.0005997 | dt: 2603.20 ms | tokens/sec: 201_401.115576 | norm: 1.43
